date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2013%20Aug%202022%2012:47:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/lenovo/Desktop/dynamex/dynamex/www.googletagmanager.com/gtm.135445.delayed	(from https://dynamex.az/)
05:47:02	101981/101981	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2013%20Aug%202022%2012:47:02%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/lenovo/Desktop/dynamex/dynamex/connect.facebook.net/en_US/fbevents.js	(from https://dynamex.az/)
05:47:02	35626/35626	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:03%20GMT	https://dynamex.az/prohibited-items.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/prohibited-items.html	(from https://dynamex.az/)
05:47:03	77033/77033	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:03%20GMT	https://dynamex.az/faq.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/faq.html	(from https://dynamex.az/)
05:47:03	145036/145036	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:04%20GMT	https://dynamex.az/ru	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/ru.html	(from https://dynamex.az/)
05:47:03	142690/142690	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:03%20GMT	https://dynamex.az/en	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/en.html	(from https://dynamex.az/)
05:47:03	37908/37908	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:04%20GMT	https://dynamex.az/az/signin.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/signin.html	(from https://dynamex.az/)
05:47:04	59047/59047	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:04%20GMT	https://dynamex.az/az/signup.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/signup.html	(from https://dynamex.az/)
05:47:04	3802/3802	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261acae82-eda%22	https://dynamex.az/images/logo.svg	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/images/logo.svg	(from https://dynamex.az/)
05:47:04	32944/32944	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:05%20GMT	https://dynamex.az/about-us.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/about-us.html	(from https://dynamex.az/)
05:47:05	38414/38414	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:05%20GMT	https://dynamex.az/services.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/services.html	(from https://dynamex.az/)
05:47:05	144374/144374	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:06%20GMT	https://dynamex.az/tariff.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/tariff.html	(from https://dynamex.az/)
05:47:06	140210/140210	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:06%20GMT	https://dynamex.az/stores.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/stores.html	(from https://dynamex.az/)
05:47:07	40734/40734	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:07%20GMT	https://dynamex.az/news.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/news.html	(from https://dynamex.az/)
05:47:07	46640/46640	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:07%20GMT	https://dynamex.az/contact.html	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/contact.html	(from https://dynamex.az/)
05:47:07	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2013%20Aug%202022%2012:47:08%20GMT	https://dynamex.az/account/basket?lang=az	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/account/basket8526	(from https://dynamex.az/)
05:47:08	947/947	---M--	200	added ('OK')	image/png	etag:%2261acae82-3b3%22	https://dynamex.az/images/lang_az.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/images/lang_az.png	(from https://dynamex.az/)
05:47:08	147366/147366	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:08%20GMT	https://dynamex.az/az	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az.html	(from https://dynamex.az/)
05:47:08	6026/6026	---M--	200	added ('OK')	image/png	etag:%2261acae82-178a%22	https://dynamex.az/images/lang_en.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/images/lang_en.png	(from https://dynamex.az/)
05:47:08	352/352	---M--	200	added ('OK')	image/png	etag:%2261acae82-160%22	https://dynamex.az/images/lang_ru.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/images/lang_ru.png	(from https://dynamex.az/)
05:47:08	166373/166373	---M--	200	added ('OK')	image/png	etag:%22626bd96d-289e5%22	https://dynamex.az/images/branchesnew.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/images/branchesnew.png	(from https://dynamex.az/)
05:47:09	9206/9206	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261acae82-23f6%22	https://dynamex.az/images/slider_bg.svg	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/images/slider_bg.svg	(from https://dynamex.az/)
05:47:09	97072/97072	---M--	200	added ('OK')	image/png	etag:%2262b19f5b-17b30%22	https://dynamex.az/frontend/web/uploads//images/slider%201/serfeli-teklifler.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/slider%201/serfeli-teklifler.png	(from https://dynamex.az/)
05:47:09	20780/20780	---M--	200	added ('OK')	image/png	etag:%2262581b51-512c%22	https://dynamex.az/frontend/web/uploads//images/airplane-min.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/airplane-min.png	(from https://dynamex.az/)
05:47:09	44094/44094	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:10%20GMT	https://dynamex.az/az/news-content/suratli-va-rahat-mobil-tatbiq-161	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/suratli-va-rahat-mobil-tatbiq-161.html	(from https://dynamex.az/)
05:47:09	108840/108840	---M--	200	added ('OK')	image/png	etag:%2262b19f54-1a928%22	https://dynamex.az/frontend/web/uploads//images/slider%201/dynamex-mobil-proqrami.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/slider%201/dynamex-mobil-proqrami.png	(from https://dynamex.az/)
05:47:10	144352/144352	---M--	200	added ('OK')	image/png	etag:%2262b1a5b5-233e0%22	https://dynamex.az/frontend/web/uploads//images/slider%201/Untitled-1.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/slider%201/Untitled-1.png	(from https://dynamex.az/)
05:47:10	42897/42897	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:10%20GMT	https://dynamex.az/az/news-content/baglamalar-artiq-siza-daha-yaxin-163	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/baglamalar-artiq-siza-daha-yaxin-163.html	(from https://dynamex.az/)
05:47:11	41663/41663	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:11%20GMT	https://dynamex.az/az/news-content/ahmadli-filialimiz-artiq-xidmatinizda-turkiya-va-amerikadan-dashinma-168	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/ahmadli-filialimiz-artiq-xidmatinizda-turkiya-va-amerikadan-dashinma-168.html	(from https://dynamex.az/)
05:47:11	242437/242437	---M--	200	added ('OK')	image/png	etag:%2262b19cfc-3b305%22	https://dynamex.az/frontend/web/uploads//images/slider%201/dynamex-ehmedli-filiali.png	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/frontend/web/uploads/images/slider%201/dynamex-ehmedli-filiali.png	(from https://dynamex.az/)
05:47:11	43096/43096	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2012:47:11%20GMT	https://dynamex.az/az/news-content/dynamex-bakixanov-tahvil-mantagasin-achdi-turkiya-va-amerikadan-dashinma-182	C:/Users/lenovo/Desktop/dynamex/dynamex/dynamex.az/az/news-content/dynamex-bakixanov-tahvil-mantagasin-achdi-turkiya-va-amerikadan-dashinma-182.html	(from https://dynamex.az/)
